# Region        : all region0
# Cells         : 63993
# Volume        : 4.13255031e-05
# Time          	volIntegrate(rho)
1.20005e-07     	2.86507462e-05
2.64017e-07     	2.86507492e-05
4.36833e-07     	2.86507528e-05
6.44211e-07     	2.86507571e-05
8.93055e-07     	2.86507623e-05
1.19165e-06     	2.86507685e-05
1.5499e-06      	2.86507759e-05
1.97972e-06     	2.86507849e-05
2.49549e-06     	2.86507956e-05
3.11429e-06     	2.86508085e-05
3.85657e-06     	2.86508240e-05
4.74757e-06     	2.86508425e-05
5.81659e-06     	2.86508648e-05
7.09941e-06     	2.86508915e-05
8.63879e-06     	2.86509235e-05
1.04849e-05     	2.86509620e-05
1.26986e-05     	2.86510081e-05
1.53526e-05     	2.86510633e-05
1.85392e-05     	2.86511297e-05
2.23581e-05     	2.86512092e-05
2.6948e-05      	2.86513048e-05
3.24454e-05     	2.86514192e-05
3.90274e-05     	2.86515563e-05
4.69043e-05     	2.86517203e-05
5.63408e-05     	2.86519168e-05
6.63798e-05     	2.86521258e-05
7.64187e-05     	2.86523348e-05
8.64576e-05     	2.86525439e-05
9.64966e-05     	2.86527529e-05
0.000106535     	2.86529619e-05
0.000116574     	2.86531709e-05
0.000126613     	2.86533800e-05
0.000136652     	2.86535890e-05
0.000146691     	2.86537980e-05
0.00015673      	2.86540071e-05
0.000166769     	2.86542161e-05
0.000176808     	2.86544251e-05
0.000186847     	2.86546342e-05
0.000196886     	2.86548432e-05
0.000206925     	2.86550523e-05
0.000216964     	2.86552613e-05
0.000227003     	2.86554703e-05
0.000237042     	2.86556794e-05
0.00024708      	2.86558884e-05
0.000257119     	2.86560975e-05
0.000267158     	2.86563065e-05
0.000277197     	2.86565156e-05
0.000287236     	2.86567246e-05
0.000297275     	2.86569337e-05
0.000307314     	2.86571427e-05
0.000317353     	2.86573518e-05
0.000327392     	2.86575608e-05
0.000337431     	2.86577699e-05
0.00034747      	2.86579790e-05
0.000357509     	2.86581880e-05
0.000367548     	2.86583971e-05
0.000377587     	2.86586062e-05
0.000387625     	2.86588153e-05
0.000397664     	2.86590243e-05
0.000407703     	2.86592334e-05
0.000417742     	2.86594425e-05
0.000427781     	2.86596516e-05
0.00043782      	2.86598607e-05
0.000447859     	2.86600698e-05
0.000457898     	2.86602788e-05
0.000467937     	2.86604879e-05
0.000477976     	2.86606970e-05
0.000488015     	2.86609061e-05
0.000498054     	2.86611153e-05
0.000508093     	2.86613244e-05
0.000518131     	2.86615335e-05
0.00052817      	2.86617426e-05
0.000538209     	2.86619517e-05
0.000548248     	2.86621608e-05
0.000558287     	2.86623699e-05
0.000568326     	2.86625791e-05
0.000578365     	2.86627882e-05
0.000588404     	2.86629973e-05
0.000598443     	2.86632065e-05
0.000608482     	2.86634156e-05
0.000618521     	2.86636248e-05
0.00062856      	2.86638339e-05
0.000638599     	2.86640431e-05
0.000648638     	2.86642522e-05
0.000658676     	2.86644614e-05
0.000668715     	2.86646705e-05
0.000678754     	2.86648797e-05
0.000688793     	2.86650889e-05
0.000698832     	2.86652981e-05
0.000708871     	2.86655072e-05
0.00071891      	2.86657164e-05
0.000728949     	2.86659256e-05
0.000738988     	2.86661348e-05
0.000749027     	2.86663440e-05
0.000759066     	2.86665532e-05
0.000769105     	2.86667624e-05
0.000779144     	2.86669716e-05
0.000789183     	2.86671808e-05
0.000799221     	2.86673900e-05
0.00080926      	2.86675992e-05
0.000819299     	2.86678084e-05
0.000829338     	2.86680176e-05
0.000839377     	2.86682269e-05
0.000849416     	2.86684361e-05
0.000859455     	2.86686453e-05
0.000869494     	2.86688546e-05
0.000879533     	2.86690638e-05
0.000889572     	2.86692731e-05
0.000899611     	2.86694823e-05
0.00090965      	2.86696916e-05
0.000919689     	2.86699008e-05
0.000929728     	2.86701101e-05
0.000939766     	2.86703193e-05
0.000949805     	2.86705286e-05
0.000959844     	2.86707379e-05
0.000969883     	2.86709472e-05
0.000979922     	2.86711564e-05
0.000989961     	2.86713657e-05
0.001           	2.86715750e-05
