# Region        : all region0
# Cells         : 24891
# Volume        : 4.13267326e+04
# Time          	volIntegrate(alpha.polymer)
1.20005e-07     	3.60014401e-07
2.64017e-07     	7.92052422e-07
4.36833e-07     	1.31049805e-06
6.44211e-07     	1.93263280e-06
8.93055e-07     	2.67916352e-06
1.19165e-06     	3.57495576e-06
1.5499e-06      	4.64971367e-06
1.97972e-06     	5.93914556e-06
2.49549e-06     	7.48646383e-06
3.11429e-06     	9.34286181e-06
3.85657e-06     	1.15697100e-05
4.74757e-06     	1.42427246e-05
5.81659e-06     	1.74497678e-05
7.09941e-06     	2.12982198e-05
8.63879e-06     	2.59163621e-05
1.04849e-05     	3.14546929e-05
1.26986e-05     	3.80957338e-05
1.53526e-05     	4.60578421e-05
1.85392e-05     	5.56175255e-05
2.23581e-05     	6.70742667e-05
2.6948e-05      	8.08438711e-05
3.24454e-05     	9.73362787e-05
3.90274e-05     	1.17082291e-04
4.69043e-05     	1.40712764e-04
5.63408e-05     	1.69022539e-04
6.63798e-05     	1.99139321e-04
7.64187e-05     	2.29256102e-04
8.64576e-05     	2.59372884e-04
9.64966e-05     	2.89489667e-04
0.000106535     	3.19606449e-04
0.000116574     	3.49723231e-04
0.000126613     	3.79840013e-04
0.000136652     	4.09956796e-04
0.000146691     	4.40073578e-04
0.00015673      	4.70190361e-04
0.000166769     	5.00307143e-04
0.000176808     	5.30423926e-04
0.000186847     	5.60540709e-04
0.000196886     	5.90657492e-04
0.000206925     	6.20774275e-04
0.000216964     	6.50891058e-04
0.000227003     	6.81007841e-04
0.000237042     	7.11124624e-04
0.00024708      	7.41241407e-04
0.000257119     	7.71358190e-04
0.000267158     	8.01474973e-04
0.000277197     	8.31591757e-04
0.000287236     	8.61708540e-04
0.000297275     	8.91825323e-04
0.000307314     	9.21942107e-04
0.000317353     	9.52058890e-04
0.000327392     	9.82175674e-04
0.000337431     	1.01229246e-03
0.00034747      	1.04240924e-03
0.000357509     	1.07252603e-03
0.000367548     	1.10264281e-03
0.000377587     	1.13275959e-03
0.000387625     	1.16287638e-03
0.000397664     	1.19299316e-03
0.000407703     	1.22310994e-03
0.000417742     	1.25322673e-03
0.000427781     	1.28334351e-03
0.00043782      	1.31346030e-03
0.000447859     	1.34357708e-03
0.000457898     	1.37369386e-03
0.000467937     	1.40381065e-03
0.000477976     	1.43392743e-03
0.000488015     	1.46404422e-03
0.000498054     	1.49416100e-03
0.000508093     	1.52427779e-03
0.000518131     	1.55439457e-03
0.00052817      	1.58451135e-03
0.000538209     	1.61462814e-03
0.000548248     	1.64474492e-03
0.000558287     	1.67486171e-03
0.000568326     	1.70497849e-03
0.000578365     	1.73509528e-03
0.000588404     	1.76521206e-03
0.000598443     	1.79532885e-03
0.000608482     	1.82544563e-03
0.000618521     	1.85556242e-03
0.00062856      	1.88567920e-03
0.000638599     	1.91579599e-03
0.000648638     	1.94591277e-03
0.000658676     	1.97602956e-03
0.000668715     	2.00614634e-03
0.000678754     	2.03626313e-03
0.000688793     	2.06637991e-03
0.000698832     	2.09649670e-03
0.000708871     	2.12661348e-03
0.00071891      	2.15673027e-03
0.000728949     	2.18684705e-03
0.000738988     	2.21696384e-03
0.000749027     	2.24708062e-03
0.000759066     	2.27719741e-03
0.000769105     	2.30731419e-03
0.000779144     	2.33743098e-03
0.000789183     	2.36754776e-03
0.000799221     	2.39766455e-03
0.00080926      	2.42778133e-03
0.000819299     	2.45789812e-03
0.000829338     	2.48801490e-03
0.000839377     	2.51813169e-03
0.000849416     	2.54824847e-03
0.000859455     	2.57836526e-03
0.000869494     	2.60848204e-03
0.000879533     	2.63859883e-03
0.000889572     	2.66871562e-03
0.000899611     	2.69883240e-03
0.00090965      	2.72894919e-03
0.000919689     	2.75906597e-03
0.000929728     	2.78918276e-03
0.000939766     	2.81929954e-03
0.000949805     	2.84941633e-03
0.000959844     	2.87953312e-03
0.000969883     	2.90964990e-03
0.000979922     	2.93976669e-03
0.000989961     	2.96988347e-03
0.001           	3.00000026e-03
