# Region        : all region0
# Cells         : 67165
# Volume        : 4.13254181e-05
# Time          	volIntegrate(alpha.polymer)
1.20005e-07     	2.77695343e-15
2.64017e-07     	6.10945752e-15
4.36833e-07     	1.01084624e-14
6.44211e-07     	1.49072682e-14
8.93055e-07     	2.06655961e-14
1.19165e-06     	2.75752453e-14
1.5499e-06      	3.58653371e-14
1.97972e-06     	4.58113060e-14
2.49549e-06     	5.77464682e-14
3.11429e-06     	7.20657009e-14
3.85657e-06     	8.92423820e-14
4.74757e-06     	1.09860544e-13
5.81659e-06     	1.34597908e-13
7.09941e-06     	1.64282742e-13
8.63879e-06     	1.99904540e-13
1.04849e-05     	2.42624161e-13
1.26986e-05     	2.93849471e-13
1.53526e-05     	3.55264755e-13
1.85392e-05     	4.29002835e-13
2.23581e-05     	5.17373747e-13
2.6948e-05      	6.23584771e-13
3.24454e-05     	7.50797942e-13
3.90274e-05     	9.03107542e-13
4.69043e-05     	1.08537962e-12
5.63408e-05     	1.30374508e-12
6.63798e-05     	1.53604872e-12
7.64187e-05     	1.76835238e-12
8.64576e-05     	2.00065604e-12
9.64966e-05     	2.23295970e-12
0.000106535     	2.46526338e-12
0.000116574     	2.69756706e-12
0.000126613     	2.92987076e-12
0.000136652     	3.16217446e-12
0.000146691     	3.39447817e-12
0.00015673      	3.62678189e-12
0.000166769     	3.85908563e-12
0.000176808     	4.09138937e-12
0.000186847     	4.32369313e-12
0.000196886     	4.55599690e-12
0.000206925     	4.78830069e-12
0.000216964     	5.02060449e-12
0.000227003     	5.25290831e-12
0.000237042     	5.48521214e-12
0.00024708      	5.71751598e-12
0.000257119     	5.94981984e-12
0.000267158     	6.18212372e-12
0.000277197     	6.41442761e-12
0.000287236     	6.64673152e-12
0.000297275     	6.87903545e-12
0.000307314     	7.11133939e-12
0.000317353     	7.34364335e-12
0.000327392     	7.57594733e-12
0.000337431     	7.80825132e-12
0.00034747      	8.04055533e-12
0.000357509     	8.27285936e-12
0.000367548     	8.50516341e-12
0.000377587     	8.73746748e-12
0.000387625     	8.96977156e-12
0.000397664     	9.20207567e-12
0.000407703     	9.43437979e-12
0.000417742     	9.66668393e-12
0.000427781     	9.89898809e-12
0.00043782      	1.01312923e-11
0.000447859     	1.03635964e-11
0.000457898     	1.05959006e-11
0.000467937     	1.08282049e-11
0.000477976     	1.10605091e-11
0.000488015     	1.12928133e-11
0.000498054     	1.15251175e-11
0.000508093     	1.17574216e-11
0.000518131     	1.19897258e-11
0.00052817      	1.22220299e-11
0.000538209     	1.24543340e-11
0.000548248     	1.26866381e-11
0.000558287     	1.29189422e-11
0.000568326     	1.31512462e-11
0.000578365     	1.33835502e-11
0.000588404     	1.36158542e-11
0.000598443     	1.38481581e-11
0.000608482     	1.40804620e-11
0.000618521     	1.43127659e-11
0.00062856      	1.45450697e-11
0.000638599     	1.47773735e-11
0.000648638     	1.50096773e-11
0.000658676     	1.52419810e-11
0.000668715     	1.54742847e-11
0.000678754     	1.57065884e-11
0.000688793     	1.59388921e-11
0.000698832     	1.61711957e-11
0.000708871     	1.64034993e-11
0.00071891      	1.66358028e-11
0.000728949     	1.68681063e-11
0.000738988     	1.71004098e-11
0.000749027     	1.73327133e-11
0.000759066     	1.75650167e-11
0.000769105     	1.77973201e-11
0.000779144     	1.80296235e-11
0.000789183     	1.82619268e-11
0.000799221     	1.84942301e-11
0.00080926      	1.87265333e-11
0.000819299     	1.89588366e-11
0.000829338     	1.91911398e-11
0.000839377     	1.94234429e-11
0.000849416     	1.96557460e-11
0.000859455     	1.98880491e-11
0.000869494     	2.01203522e-11
0.000879533     	2.03526552e-11
0.000889572     	2.05849582e-11
0.000899611     	2.08172612e-11
0.00090965      	2.10495641e-11
0.000919689     	2.12818671e-11
0.000929728     	2.15141699e-11
0.000939766     	2.17464728e-11
0.000949805     	2.19787756e-11
0.000959844     	2.22110783e-11
0.000969883     	2.24433811e-11
0.000979922     	2.26756838e-11
0.000989961     	2.29079865e-11
0.001           	2.31402891e-11
