# Region        : all region0
# Cells         : 67165
# Volume        : 4.13254181e-05
# Time          	volIntegrate(T)
1.20005e-07     	2.09932359e-02
2.64017e-07     	2.09931440e-02
4.36833e-07     	2.09930338e-02
6.44211e-07     	2.09929014e-02
8.93055e-07     	2.09927427e-02
1.19165e-06     	2.09925522e-02
1.5499e-06      	2.09923237e-02
1.97972e-06     	2.09920495e-02
2.49549e-06     	2.09917205e-02
3.11429e-06     	2.09913259e-02
3.85657e-06     	2.09908527e-02
4.74757e-06     	2.09902846e-02
5.81659e-06     	2.09896033e-02
7.09941e-06     	2.09887859e-02
8.63879e-06     	2.09878054e-02
1.04849e-05     	2.09866299e-02
1.26986e-05     	2.09852211e-02
1.53526e-05     	2.09835329e-02
1.85392e-05     	2.09815073e-02
2.23581e-05     	2.09790816e-02
2.6948e-05      	2.09761689e-02
3.24454e-05     	2.09726842e-02
3.90274e-05     	2.09685175e-02
4.69043e-05     	2.09635391e-02
5.63408e-05     	2.09575862e-02
6.63798e-05     	2.09512661e-02
7.64187e-05     	2.09449590e-02
8.64576e-05     	2.09386648e-02
9.64966e-05     	2.09323834e-02
0.000106535     	2.09261150e-02
0.000116574     	2.09198594e-02
0.000126613     	2.09136166e-02
0.000136652     	2.09073866e-02
0.000146691     	2.09011691e-02
0.00015673      	2.08949643e-02
0.000166769     	2.08887719e-02
0.000176808     	2.08825919e-02
0.000186847     	2.08764243e-02
0.000196886     	2.08702689e-02
0.000206925     	2.08641256e-02
0.000216964     	2.08579944e-02
0.000227003     	2.08518753e-02
0.000237042     	2.08457680e-02
0.00024708      	2.08396726e-02
0.000257119     	2.08335891e-02
0.000267158     	2.08275173e-02
0.000277197     	2.08214571e-02
0.000287236     	2.08154085e-02
0.000297275     	2.08093714e-02
0.000307314     	2.08033457e-02
0.000317353     	2.07973314e-02
0.000327392     	2.07913284e-02
0.000337431     	2.07853367e-02
0.00034747      	2.07793561e-02
0.000357509     	2.07733866e-02
0.000367548     	2.07674282e-02
0.000377587     	2.07614808e-02
0.000387625     	2.07555443e-02
0.000397664     	2.07496186e-02
0.000407703     	2.07437037e-02
0.000417742     	2.07377996e-02
0.000427781     	2.07319061e-02
0.00043782      	2.07260232e-02
0.000447859     	2.07201509e-02
0.000457898     	2.07142890e-02
0.000467937     	2.07084376e-02
0.000477976     	2.07025966e-02
0.000488015     	2.06967658e-02
0.000498054     	2.06909453e-02
0.000508093     	2.06851350e-02
0.000518131     	2.06793348e-02
0.00052817      	2.06735447e-02
0.000538209     	2.06677645e-02
0.000548248     	2.06619944e-02
0.000558287     	2.06562341e-02
0.000568326     	2.06504837e-02
0.000578365     	2.06447431e-02
0.000588404     	2.06390122e-02
0.000598443     	2.06332910e-02
0.000608482     	2.06275794e-02
0.000618521     	2.06218774e-02
0.00062856      	2.06161849e-02
0.000638599     	2.06105019e-02
0.000648638     	2.06048282e-02
0.000658676     	2.05991640e-02
0.000668715     	2.05935090e-02
0.000678754     	2.05878633e-02
0.000688793     	2.05822267e-02
0.000698832     	2.05765994e-02
0.000708871     	2.05709811e-02
0.00071891      	2.05653718e-02
0.000728949     	2.05597716e-02
0.000738988     	2.05541803e-02
0.000749027     	2.05485979e-02
0.000759066     	2.05430243e-02
0.000769105     	2.05374596e-02
0.000779144     	2.05319036e-02
0.000789183     	2.05263563e-02
0.000799221     	2.05208176e-02
0.00080926      	2.05152876e-02
0.000819299     	2.05097661e-02
0.000829338     	2.05042531e-02
0.000839377     	2.04987486e-02
0.000849416     	2.04932525e-02
0.000859455     	2.04877648e-02
0.000869494     	2.04822854e-02
0.000879533     	2.04768143e-02
0.000889572     	2.04713514e-02
0.000899611     	2.04658968e-02
0.00090965      	2.04604502e-02
0.000919689     	2.04550118e-02
0.000929728     	2.04495815e-02
0.000939766     	2.04441592e-02
0.000949805     	2.04387448e-02
0.000959844     	2.04333384e-02
0.000969883     	2.04279399e-02
0.000979922     	2.04225492e-02
0.000989961     	2.04171663e-02
0.001           	2.04117912e-02
