# Region        : all region0
# Cells         : 67165
# Volume        : 4.13254181e-05
# Time          	volIntegrate(rho)
1.20005e-07     	2.86506874e-05
2.64017e-07     	2.86506904e-05
4.36833e-07     	2.86506940e-05
6.44211e-07     	2.86506983e-05
8.93055e-07     	2.86507035e-05
1.19165e-06     	2.86507097e-05
1.5499e-06      	2.86507172e-05
1.97972e-06     	2.86507261e-05
2.49549e-06     	2.86507369e-05
3.11429e-06     	2.86507497e-05
3.85657e-06     	2.86507652e-05
4.74757e-06     	2.86507838e-05
5.81659e-06     	2.86508060e-05
7.09941e-06     	2.86508327e-05
8.63879e-06     	2.86508648e-05
1.04849e-05     	2.86509032e-05
1.26986e-05     	2.86509493e-05
1.53526e-05     	2.86510046e-05
1.85392e-05     	2.86510709e-05
2.23581e-05     	2.86511504e-05
2.6948e-05      	2.86512460e-05
3.24454e-05     	2.86513605e-05
3.90274e-05     	2.86514975e-05
4.69043e-05     	2.86516615e-05
5.63408e-05     	2.86518580e-05
6.63798e-05     	2.86520670e-05
7.64187e-05     	2.86522761e-05
8.64576e-05     	2.86524851e-05
9.64966e-05     	2.86526941e-05
0.000106535     	2.86529031e-05
0.000116574     	2.86531122e-05
0.000126613     	2.86533212e-05
0.000136652     	2.86535302e-05
0.000146691     	2.86537393e-05
0.00015673      	2.86539483e-05
0.000166769     	2.86541573e-05
0.000176808     	2.86543664e-05
0.000186847     	2.86545754e-05
0.000196886     	2.86547845e-05
0.000206925     	2.86549935e-05
0.000216964     	2.86552025e-05
0.000227003     	2.86554116e-05
0.000237042     	2.86556206e-05
0.00024708      	2.86558297e-05
0.000257119     	2.86560387e-05
0.000267158     	2.86562478e-05
0.000277197     	2.86564568e-05
0.000287236     	2.86566659e-05
0.000297275     	2.86568749e-05
0.000307314     	2.86570840e-05
0.000317353     	2.86572931e-05
0.000327392     	2.86575021e-05
0.000337431     	2.86577112e-05
0.00034747      	2.86579203e-05
0.000357509     	2.86581293e-05
0.000367548     	2.86583384e-05
0.000377587     	2.86585475e-05
0.000387625     	2.86587566e-05
0.000397664     	2.86589657e-05
0.000407703     	2.86591747e-05
0.000417742     	2.86593838e-05
0.000427781     	2.86595929e-05
0.00043782      	2.86598020e-05
0.000447859     	2.86600111e-05
0.000457898     	2.86602202e-05
0.000467937     	2.86604293e-05
0.000477976     	2.86606384e-05
0.000488015     	2.86608475e-05
0.000498054     	2.86610567e-05
0.000508093     	2.86612658e-05
0.000518131     	2.86614749e-05
0.00052817      	2.86616840e-05
0.000538209     	2.86618932e-05
0.000548248     	2.86621023e-05
0.000558287     	2.86623114e-05
0.000568326     	2.86625206e-05
0.000578365     	2.86627297e-05
0.000588404     	2.86629389e-05
0.000598443     	2.86631480e-05
0.000608482     	2.86633572e-05
0.000618521     	2.86635663e-05
0.00062856      	2.86637755e-05
0.000638599     	2.86639847e-05
0.000648638     	2.86641938e-05
0.000658676     	2.86644030e-05
0.000668715     	2.86646122e-05
0.000678754     	2.86648214e-05
0.000688793     	2.86650305e-05
0.000698832     	2.86652397e-05
0.000708871     	2.86654489e-05
0.00071891      	2.86656581e-05
0.000728949     	2.86658673e-05
0.000738988     	2.86660765e-05
0.000749027     	2.86662857e-05
0.000759066     	2.86664950e-05
0.000769105     	2.86667042e-05
0.000779144     	2.86669134e-05
0.000789183     	2.86671226e-05
0.000799221     	2.86673319e-05
0.00080926      	2.86675411e-05
0.000819299     	2.86677503e-05
0.000829338     	2.86679596e-05
0.000839377     	2.86681688e-05
0.000849416     	2.86683781e-05
0.000859455     	2.86685873e-05
0.000869494     	2.86687966e-05
0.000879533     	2.86690058e-05
0.000889572     	2.86692151e-05
0.000899611     	2.86694244e-05
0.00090965      	2.86696337e-05
0.000919689     	2.86698429e-05
0.000929728     	2.86700522e-05
0.000939766     	2.86702615e-05
0.000949805     	2.86704708e-05
0.000959844     	2.86706801e-05
0.000969883     	2.86708894e-05
0.000979922     	2.86710987e-05
0.000989961     	2.86713080e-05
0.001           	2.86715173e-05
