no,supplier_name,manufacturer_name,iso_existence,target,qms,second_party_audit,supplier_development,automotive_related,departments,transaction_details,address1,address2,postal_code,tel,fax,filename,document_name,issue_date,feedback_date
85,（株）ミヤタ,MAアルミニウム㈱,ISO9001取得有り,〇,〇,△,×,〇,加工課,材料,大田区中央３丁目２１－１１,,143-0024,033-773-7711,033-773-7710,,,,
85,（株）ミヤタ,㈱プロテリアル金属,ISO9001取得有り,〇,〇,△,×,〇,加工課,材料,大阪府吹田氏2-19-1,,,,,,,,
85,（株）ミヤタ,古川電工㈱,ISO9001取得有り,〇,〇,△,×,〇,加工課,材料,,,,,,,,,
85,（株）ミヤタ,片木アルミ,ISO9001取得無し,〇,〇,〇,〇,〇,加工課,材料,,,,,,,,,
85,（株）ミヤタ,大同特殊鋼㈱,ISO9001取得有り,〇,〇,△,×,〇,加工課,材料,,,,,,,,,
1055,阪和興業（株）,ＣＳＡＣ(台湾メーカー),ISO9001取得有り,〇,〇,△,×,〇,加工課,材料,-,-,-,03-3544-2329,03-3544-2148,,,,
589,㈱東電化,製品めっき(材料先メッキ）,ISO9001取得有り,〇,〇,△,×,〇,加工課,,-,-,,,,,,,
969,東栄電化工業㈱,アルマイト外注,ISO9001取得有り,〇,〇,△,×,〇,加工課,アルマイト,相模原市中央区小町通2-5-9,042-771-1528,042-773-4032,042-771-1528,042-773-4032,,,,
418,東京材料㈱,石塚化学,ISO9001取得有り,〇,〇,△,×,〇,加工課,,,,,,,,,,
1095,日本ケミカル電子㈱,試作品のめっき,ISO9001取得有り,〇,〇,△,×,△,加工課,メッキ,-,-,-,0561-54-1234,0561-54-9101,,,,
37,（株）三松（表面処理薬品商社）,ユケン工業㈱,ISO9001取得有り,〇,〇,△,×,△,加工課,薬品,東京都大田区西蒲田7-57-11,,144-0051,033-733-7131,033-739-0321,,,,
1033,クリンビー,東ソー株式会社,ISO9001取得有り,〇,〇,△,×,△,加工課,薬品,長野県諏訪市四賀3011-3,,,0266-57-0521,0266-52-5191,,,,
928,新日本化成㈱,日産化学（硝酸）,ISO9001取得有り,〇,×,×,×,〇,加工課,薬品,厚木市中依知348-1,,243-0805,046-210-3999,046-245-4125,,,,
79,（株）ミスミ,金型パーツ,ISO9001取得無し,〇,×,×,×,〇,工場全般,消耗品・自動機部品・金型部品,横浜市神奈川区鶴屋町3-31-5,久保田ビル4F,221-0831,045-324-1141,045-324-0252,,,,
95,新日本精機㈱,システム管理,ISO9001取得無し,〇,×,×,×,〇,加工課,内職,平塚市大島1294-1,,254-0001,0463-51-1010,0463-54-5827,,,,
377,東海鋼鉄㈱,金型のプレートの購入,ISO9001取得無し,〇,×,×,×,〇,技術部,プレート,綾瀬市吉岡278,,,0467-78-0721,0467-76-2747,,,,
363,藤沢紙工㈱,製品保護のためのジャバラ紙,ISO9001取得無し,×,×,×,×,〇,加工課,パーチメント紙 ・コーナーアングル,茅ヶ崎市中島1158-6,,253-0073,0467-58-2600,0467-58-2607,,,,
260,パンチ工業　㈱,金型のパンチ等購入,ISO9001取得有り,〇,×,×,×,〇,技術部,金型パーツ,本）品川区南大井6-22-7大森ベルポートＥ-5Ｆ,,,（045）904-8007,045-904-8011,,,,
473,㈱橋本工商,工作機械・工具など,ISO9001取得無し,〇,×,×,×,〇,技術部,消耗品工具,相模原市中央区高根1-14-7,,252-0221,042-759-4001,042-759-4003,,,,
1056,東京プロト㈱,梱包製品トレイ,ISO9001取得有り,〇,×,×,×,〇,加工課,トレイ,横浜市港北区樽町3-1-1,,222-0001,045-543-0141,045-562-9882,,,,
