timestamp,tag_id,x,y,z,quality,source
2026-05-01 09:00:00.000,worker_anon_01,2.118,1.608,1.1,0.93,sample
2026-05-01 09:00:01.000,worker_anon_01,2.122,1.651,1.1,0.8,sample
2026-05-01 09:00:02.000,worker_anon_01,2.093,1.546,1.1,0.95,sample
2026-05-01 09:00:03.000,worker_anon_01,2.068,1.567,1.1,0.89,sample
2026-05-01 09:00:04.000,worker_anon_01,2.096,1.612,1.1,0.96,sample
2026-05-01 09:00:05.000,worker_anon_01,2.168,1.553,1.1,0.91,sample
2026-05-01 09:00:06.000,worker_anon_01,2.154,1.545,1.1,0.92,sample
2026-05-01 09:00:07.000,worker_anon_01,2.074,1.589,1.1,0.83,sample
2026-05-01 09:00:08.000,worker_anon_01,2.124,1.621,1.1,0.89,sample
2026-05-01 09:00:09.000,worker_anon_01,2.066,1.573,1.1,0.95,sample
2026-05-01 09:00:10.000,worker_anon_01,2.101,1.55,1.1,0.82,sample
2026-05-01 09:00:11.000,worker_anon_01,2.096,1.573,1.1,0.85,sample
2026-05-01 09:00:12.000,worker_anon_01,2.148,1.61,1.1,0.92,sample
2026-05-01 09:00:13.000,worker_anon_01,2.166,1.561,1.1,0.88,sample
2026-05-01 09:00:14.000,worker_anon_01,2.075,1.65,1.1,0.96,sample
2026-05-01 09:00:15.000,worker_anon_01,2.048,1.599,1.1,0.97,sample
2026-05-01 09:00:16.000,worker_anon_01,2.168,1.617,1.1,0.88,sample
2026-05-01 09:00:17.000,worker_anon_01,2.132,1.598,1.1,0.87,sample
2026-05-01 09:00:18.000,worker_anon_01,2.046,1.649,1.1,0.92,sample
2026-05-01 09:00:19.000,worker_anon_01,2.109,1.596,1.1,0.86,sample
2026-05-01 09:00:20.000,worker_anon_01,2.072,1.638,1.1,0.87,sample
2026-05-01 09:00:21.000,worker_anon_01,2.036,1.669,1.1,0.88,sample
2026-05-01 09:00:22.000,worker_anon_01,2.061,1.659,1.1,0.84,sample
2026-05-01 09:00:23.000,worker_anon_01,2.057,1.645,1.1,0.81,sample
2026-05-01 09:00:24.000,worker_anon_01,2.098,1.624,1.1,0.87,sample
2026-05-01 09:00:25.000,worker_anon_01,2.091,1.594,1.1,0.83,sample
2026-05-01 09:00:26.000,worker_anon_01,2.188,1.635,1.1,0.89,sample
2026-05-01 09:00:27.000,worker_anon_01,2.334,1.707,1.1,0.91,sample
2026-05-01 09:00:28.000,worker_anon_01,2.426,1.79,1.1,0.89,sample
2026-05-01 09:00:29.000,worker_anon_01,2.53,1.914,1.1,0.92,sample
2026-05-01 09:00:30.000,worker_anon_01,2.586,1.979,1.1,0.78,sample
2026-05-01 09:00:31.000,worker_anon_01,2.68,2.067,1.1,0.84,sample
2026-05-01 09:00:32.000,worker_anon_01,2.8,2.091,1.1,0.9,sample
2026-05-01 09:00:33.000,worker_anon_01,2.896,2.145,1.1,0.95,sample
2026-05-01 09:00:34.000,worker_anon_01,2.966,2.272,1.1,0.8,sample
2026-05-01 09:00:35.000,worker_anon_01,3.092,2.349,1.1,0.86,sample
2026-05-01 09:00:36.000,worker_anon_01,3.203,2.366,1.1,0.94,sample
2026-05-01 09:00:37.000,worker_anon_01,3.332,2.463,1.1,0.95,sample
2026-05-01 09:00:38.000,worker_anon_01,3.365,2.517,1.1,0.8,sample
2026-05-01 09:00:39.000,worker_anon_01,3.513,2.615,1.1,0.91,sample
2026-05-01 09:00:40.000,worker_anon_01,3.449,2.554,1.1,0.81,sample
2026-05-01 09:00:41.000,worker_anon_01,3.446,2.531,1.1,0.88,sample
2026-05-01 09:00:42.000,worker_anon_01,3.442,2.594,1.1,0.96,sample
2026-05-01 09:00:43.000,worker_anon_01,3.432,2.581,1.1,0.85,sample
2026-05-01 09:00:44.000,worker_anon_01,3.519,2.592,1.1,0.91,sample
2026-05-01 09:00:45.000,worker_anon_01,3.487,2.586,1.1,0.81,sample
2026-05-01 09:00:46.000,worker_anon_01,3.469,2.594,1.1,0.82,sample
2026-05-01 09:00:47.000,worker_anon_01,3.439,2.561,1.1,0.96,sample
2026-05-01 09:00:48.000,worker_anon_01,3.594,2.536,1.1,0.88,sample
2026-05-01 09:00:49.000,worker_anon_01,3.711,2.511,1.1,0.93,sample
2026-05-01 09:00:50.000,worker_anon_01,3.874,2.456,1.1,0.83,sample
2026-05-01 09:00:51.000,worker_anon_01,3.919,2.402,1.1,0.79,sample
2026-05-01 09:00:52.000,worker_anon_01,4.057,2.329,1.1,0.83,sample
2026-05-01 09:00:53.000,worker_anon_01,4.168,2.287,1.1,0.94,sample
2026-05-01 09:00:54.000,worker_anon_01,4.308,2.295,1.1,0.89,sample
2026-05-01 09:00:55.000,worker_anon_01,4.403,2.199,1.1,0.93,sample
2026-05-01 09:00:56.000,worker_anon_01,4.499,2.188,1.1,0.84,sample
2026-05-01 09:00:57.000,worker_anon_01,4.674,2.123,1.1,0.88,sample
2026-05-01 09:00:58.000,worker_anon_01,4.735,2.098,1.1,0.92,sample
2026-05-01 09:00:59.000,worker_anon_01,4.908,2.051,1.1,0.94,sample
2026-05-01 09:01:00.000,worker_anon_01,4.999,2.013,1.1,0.89,sample
2026-05-01 09:01:01.000,worker_anon_01,5.09,1.942,1.1,0.91,sample
2026-05-01 09:01:02.000,worker_anon_01,5.181,1.888,1.1,0.85,sample
2026-05-01 09:01:03.000,worker_anon_01,5.34,1.86,1.1,0.78,sample
2026-05-01 09:01:04.000,worker_anon_01,5.433,1.767,1.1,0.86,sample
2026-05-01 09:01:05.000,worker_anon_01,5.525,1.713,1.1,0.95,sample
2026-05-01 09:01:06.000,worker_anon_01,5.689,1.696,1.1,0.86,sample
2026-05-01 09:01:07.000,worker_anon_01,5.793,1.655,1.1,0.84,sample
2026-05-01 09:01:08.000,worker_anon_01,5.882,1.576,1.1,0.8,sample
2026-05-01 09:01:09.000,worker_anon_01,5.94,1.648,1.1,0.89,sample
2026-05-01 09:01:10.000,worker_anon_01,5.969,1.566,1.1,0.94,sample
2026-05-01 09:01:11.000,worker_anon_01,5.922,1.58,1.1,0.97,sample
2026-05-01 09:01:12.000,worker_anon_01,5.91,1.543,1.1,0.95,sample
2026-05-01 09:01:13.000,worker_anon_01,5.952,1.6,1.1,0.85,sample
2026-05-01 09:01:14.000,worker_anon_01,5.964,1.585,1.1,0.97,sample
2026-05-01 09:01:15.000,worker_anon_01,5.963,1.629,1.1,0.96,sample
2026-05-01 09:01:16.000,worker_anon_01,5.837,1.596,1.1,0.96,sample
2026-05-01 09:01:17.000,worker_anon_01,5.897,1.608,1.1,0.88,sample
2026-05-01 09:01:18.000,worker_anon_01,5.936,1.59,1.1,0.94,sample
2026-05-01 09:01:19.000,worker_anon_01,5.864,1.575,1.1,0.8,sample
2026-05-01 09:01:20.000,worker_anon_01,5.87,1.615,1.1,0.84,sample
2026-05-01 09:01:21.000,worker_anon_01,5.938,1.556,1.1,0.82,sample
2026-05-01 09:01:22.000,worker_anon_01,5.866,1.646,1.1,0.82,sample
2026-05-01 09:01:23.000,worker_anon_01,5.912,1.654,1.1,0.92,sample
2026-05-01 09:01:24.000,worker_anon_01,5.888,1.571,1.1,0.85,sample
2026-05-01 09:01:25.000,worker_anon_01,5.949,1.611,1.1,0.83,sample
2026-05-01 09:01:26.000,worker_anon_01,5.882,1.612,1.1,0.87,sample
2026-05-01 09:01:27.000,worker_anon_01,5.924,1.573,1.1,0.83,sample
2026-05-01 09:01:28.000,worker_anon_01,5.85,1.586,1.1,0.8,sample
2026-05-01 09:01:29.000,worker_anon_01,5.918,1.666,1.1,0.84,sample
2026-05-01 09:01:30.000,worker_anon_01,5.86,1.633,1.1,0.97,sample
2026-05-01 09:01:31.000,worker_anon_01,5.852,1.558,1.1,0.84,sample
2026-05-01 09:01:32.000,worker_anon_01,5.868,1.57,1.1,0.81,sample
2026-05-01 09:01:33.000,worker_anon_01,5.842,1.6,1.1,0.89,sample
2026-05-01 09:01:34.000,worker_anon_01,5.788,1.665,1.1,0.92,sample
2026-05-01 09:01:35.000,worker_anon_01,5.653,1.689,1.1,0.92,sample
2026-05-01 09:01:36.000,worker_anon_01,5.58,1.763,1.1,0.93,sample
2026-05-01 09:01:37.000,worker_anon_01,5.449,1.86,1.1,0.85,sample
2026-05-01 09:01:38.000,worker_anon_01,5.343,1.908,1.1,0.81,sample
2026-05-01 09:01:39.000,worker_anon_01,5.243,1.914,1.1,0.89,sample
2026-05-01 09:01:40.000,worker_anon_01,5.142,2.013,1.1,0.88,sample
2026-05-01 09:01:41.000,worker_anon_01,5.061,2.093,1.1,0.91,sample
2026-05-01 09:01:42.000,worker_anon_01,4.915,2.134,1.1,0.95,sample
2026-05-01 09:01:43.000,worker_anon_01,4.847,2.225,1.1,0.91,sample
2026-05-01 09:01:44.000,worker_anon_01,4.746,2.223,1.1,0.89,sample
2026-05-01 09:01:45.000,worker_anon_01,4.648,2.293,1.1,0.93,sample
2026-05-01 09:01:46.000,worker_anon_01,4.551,2.332,1.1,0.96,sample
2026-05-01 09:01:47.000,worker_anon_01,4.43,2.45,1.1,0.79,sample
2026-05-01 09:01:48.000,worker_anon_01,4.289,2.5,1.1,0.79,sample
2026-05-01 09:01:49.000,worker_anon_01,4.212,2.515,1.1,0.89,sample
2026-05-01 09:01:50.000,worker_anon_01,4.105,2.593,1.1,0.94,sample
2026-05-01 09:01:51.000,worker_anon_01,4.117,2.6,1.1,0.9,sample
2026-05-01 09:01:52.000,worker_anon_01,4.063,2.64,1.1,0.84,sample
2026-05-01 09:01:53.000,worker_anon_01,4.052,2.547,1.1,0.97,sample
2026-05-01 09:01:54.000,worker_anon_01,4.034,2.595,1.1,0.9,sample
2026-05-01 09:01:55.000,worker_anon_01,4.134,2.544,1.1,0.83,sample
2026-05-01 09:01:56.000,worker_anon_01,4.066,2.629,1.1,0.88,sample
2026-05-01 09:01:57.000,worker_anon_01,4.094,2.662,1.1,0.97,sample
