timestamp,tag_id,x,y,z,quality,source
2026-05-01 09:00:00.000,worker_anon_01,2.125,1.576,1.1,0.87,sample
2026-05-01 09:00:01.000,worker_anon_01,2.163,1.658,1.1,0.81,sample
2026-05-01 09:00:02.000,worker_anon_01,2.125,1.534,1.1,0.88,sample
2026-05-01 09:00:03.000,worker_anon_01,2.132,1.531,1.1,0.97,sample
2026-05-01 09:00:04.000,worker_anon_01,2.101,1.585,1.1,0.86,sample
2026-05-01 09:00:05.000,worker_anon_01,2.132,1.565,1.1,0.95,sample
2026-05-01 09:00:06.000,worker_anon_01,2.036,1.535,1.1,0.97,sample
2026-05-01 09:00:07.000,worker_anon_01,2.126,1.573,1.1,0.92,sample
2026-05-01 09:00:08.000,worker_anon_01,2.138,1.545,1.1,0.98,sample
2026-05-01 09:00:09.000,worker_anon_01,2.061,1.57,1.1,0.81,sample
2026-05-01 09:00:10.000,worker_anon_01,2.056,1.541,1.1,0.82,sample
2026-05-01 09:00:11.000,worker_anon_01,2.149,1.612,1.1,0.87,sample
2026-05-01 09:00:12.000,worker_anon_01,2.124,1.555,1.1,0.84,sample
2026-05-01 09:00:13.000,worker_anon_01,2.094,1.67,1.1,0.93,sample
2026-05-01 09:00:14.000,worker_anon_01,2.078,1.593,1.1,0.93,sample
2026-05-01 09:00:15.000,worker_anon_01,2.117,1.648,1.1,0.8,sample
2026-05-01 09:00:16.000,worker_anon_01,2.035,1.575,1.1,0.97,sample
2026-05-01 09:00:17.000,worker_anon_01,2.128,1.576,1.1,0.9,sample
2026-05-01 09:00:18.000,worker_anon_01,2.107,1.641,1.1,0.83,sample
2026-05-01 09:00:19.000,worker_anon_01,2.066,1.629,1.1,0.88,sample
2026-05-01 09:00:20.000,worker_anon_01,2.056,1.58,1.1,0.87,sample
2026-05-01 09:00:21.000,worker_anon_01,2.189,1.72,1.1,0.95,sample
2026-05-01 09:00:22.000,worker_anon_01,2.196,1.834,1.1,0.93,sample
2026-05-01 09:00:23.000,worker_anon_01,2.274,1.891,1.1,0.89,sample
2026-05-01 09:00:24.000,worker_anon_01,2.371,2.039,1.1,0.92,sample
2026-05-01 09:00:25.000,worker_anon_01,2.443,2.089,1.1,0.86,sample
2026-05-01 09:00:26.000,worker_anon_01,2.482,2.257,1.1,0.92,sample
2026-05-01 09:00:27.000,worker_anon_01,2.595,2.354,1.1,0.82,sample
2026-05-01 09:00:28.000,worker_anon_01,2.66,2.406,1.1,0.78,sample
2026-05-01 09:00:29.000,worker_anon_01,2.715,2.538,1.1,0.87,sample
2026-05-01 09:00:30.000,worker_anon_01,2.766,2.674,1.1,0.8,sample
2026-05-01 09:00:31.000,worker_anon_01,2.857,2.739,1.1,0.82,sample
2026-05-01 09:00:32.000,worker_anon_01,2.865,2.846,1.1,0.92,sample
2026-05-01 09:00:33.000,worker_anon_01,2.954,2.938,1.1,0.8,sample
2026-05-01 09:00:34.000,worker_anon_01,3.001,3.024,1.1,0.95,sample
2026-05-01 09:00:35.000,worker_anon_01,3.083,3.171,1.1,0.81,sample
2026-05-01 09:00:36.000,worker_anon_01,3.15,3.241,1.1,0.83,sample
2026-05-01 09:00:37.000,worker_anon_01,3.245,3.338,1.1,0.79,sample
2026-05-01 09:00:38.000,worker_anon_01,3.331,3.458,1.1,0.89,sample
2026-05-01 09:00:39.000,worker_anon_01,3.372,3.592,1.1,0.86,sample
2026-05-01 09:00:40.000,worker_anon_01,3.401,3.682,1.1,0.89,sample
2026-05-01 09:00:41.000,worker_anon_01,3.522,3.817,1.1,0.82,sample
2026-05-01 09:00:42.000,worker_anon_01,3.591,3.87,1.1,0.9,sample
2026-05-01 09:00:43.000,worker_anon_01,3.634,4.01,1.1,0.93,sample
2026-05-01 09:00:44.000,worker_anon_01,3.74,4.126,1.1,0.89,sample
2026-05-01 09:00:45.000,worker_anon_01,3.753,4.189,1.1,0.89,sample
2026-05-01 09:00:46.000,worker_anon_01,3.798,4.329,1.1,0.83,sample
2026-05-01 09:00:47.000,worker_anon_01,3.87,4.393,1.1,0.91,sample
2026-05-01 09:00:48.000,worker_anon_01,3.945,4.404,1.1,0.91,sample
2026-05-01 09:00:49.000,worker_anon_01,3.969,4.372,1.1,0.93,sample
