safe,dsid,kind_hint,indp_policy,priority,already_have,notes
orientation_at_core,1030,tensor,last,high,0,full_catalog;ELDT;Orientation at core
orientation_at_skin,1040,tensor,last,high,0,full_catalog;ELDT;Orientation at skin
orientation_at_top_skin,1045,tensor,last,high,0,full_catalog;ELDT;Orientation at top skin
orientation_at_bottom_skin,1050,tensor,last,high,0,full_catalog;ELDT;Orientation at bottom skin
orientation_at_skin_fast_fill,1051,tensor,last,high,0,full_catalog;ELDT;Orientation at skin (fast fill)
shear_rate_bulk,1120,scalar,fill_and_last,high,0,full_catalog;ELDT;Shear rate; bulk
shear_stress_bulk,1125,scalar,fill_and_last,high,0,full_catalog;ELDT;Shear stress; bulk
pressure,1180,scalar,fill,have,1,already_have_csv
pressure_drop,1185,scalar,fill_and_last,high,0,reprobe_full_catalog
pressure_end_of_fill,1190,scalar,last,high,0,reprobe_full_catalog
hold_pressure,1195,scalar,last,high,0,reprobe_full_catalog
frozen_pressure,1197,scalar,fill,high,0,full_catalog;ELDT;Frozen pressure
bulk_temperature_eof,1220,scalar,last,high,0,reprobe_full_catalog
frozen_layer_eof,1230,scalar,last,high,0,reprobe_full_catalog
stress_end_of_pack,1303,scalar,last,high,0,full_catalog;ELDT;Stress. End of pack
average_velocity,1420,vector,fill,high,0,reprobe_full_catalog
volumetric_shrinkage_ejection,1440,scalar,last,high,0,reprobe_full_catalog
sink_marks_depth,1444,scalar,last,high,0,reprobe_full_catalog
flow_rate_beams,1450,scalar,last,high,0,full_catalog;ELDT;Flow rate; beams
bulk_temperature_eldt,1460,scalar,fill_and_last,high,0,reprobe_full_catalog
bulk_temperature_elemental,1465,scalar,fill_and_last,high,0,full_catalog;ELDT;Bulk temperature; elemental
bulk_temperature_nodal,1467,scalar,fill_and_last,high,0,reprobe_full_catalog
shear_stress_at_wall,1470,scalar,fill,high,0,reprobe_full_catalog
volumetric_shrinkage,1480,scalar,last,have,1,already_have_csv
frozen_layer_fraction,1490,scalar,fill_and_last,high,0,reprobe_full_catalog
sink_marks_index,1510,scalar,last,high,0,reprobe_full_catalog
time_to_ejection_temp,1520,scalar,last,high,0,reprobe_full_catalog
temperature_for_warp,1539,scalar,last,high,0,full_catalog;NDDT;Temperature for warp analysis
temperature,1540,scalar,fill,have,1,already_have_csv
temperature,1545,scalar,fill,have,1,already_have_csv
temperature_nodal,1547,scalar,fill,high,0,full_catalog;NDDT;Temperature; nodal
velocity_eldt,1555,vector,fill,high,0,reprobe_full_catalog
polymer_skin_fraction,1575,scalar,last,high,0,full_catalog;ELDT;Polymer skin fraction
